,CIA_title,Year,level,type_cat,fwci_awarded,pubs_awarded
419,Prof,2016,3,3,10.88,148.0
420,Prof,2016,3,3,2.874545454545455,120.0
421,A/Pr,2016,2,3,2.82,71.0
422,Prof,2016,3,3,1.652727272727273,364.0
423,Dr,2016,1,3,2.008181818181818,48.0
424,Prof,2016,3,3,,
425,Dr,2016,1,3,13.65272727272727,58.0
426,A/Pr,2016,2,3,1.993333333333333,13.0
427,Prof,2016,3,3,1.189090909090909,85.0
428,Dr,2016,1,3,8.505454545454544,73.0
429,A/Pr,2016,2,3,1.621818181818181,181.0
430,A/Pr,2016,2,2,1.621818181818181,181.0
431,Dr,2016,1,2,1.767272727272727,47.0
432,Dr,2016,1,2,,
433,Dr,2016,1,2,,
434,Dr,2016,1,2,1.656666666666667,8.0
435,Dr,2016,1,2,1.13625,12.0
436,Dr,2016,1,2,2.0675,69.0
437,A/Pr,2016,2,2,0.4766666666666667,5.0
438,Dr,2016,1,2,1.459,60.0
439,A/Pr,2016,2,2,1.12,159.0
440,A/Pr,2016,2,2,2.322,123.0
441,Dr,2016,1,2,2.128888888888889,93.0
442,Dr,2016,1,2,2.534285714285715,22.0
443,Dr,2016,1,2,0.9411111111111112,54.0
444,A/Pr,2016,2,2,1.252727272727273,145.0
445,Dr,2016,1,2,,
446,A/Pr,2016,2,2,18.10909090909091,110.0
447,Dr,2016,1,2,3.82,43.0
448,Dr,2016,1,2,3.098,63.0
449,A/Pr,2016,2,2,1.350909090909091,122.0
450,A/Pr,2016,2,2,2.681999999999999,48.0
451,Dr,2016,1,2,1.134545454545455,70.0
452,Dr,2016,1,2,0.9549999999999998,49.0
453,A/Pr,2016,2,2,4.195454545454546,52.0
454,Dr,2016,1,2,,
455,Dr,2016,1,2,2.41,78.0
456,Dr,2016,1,2,1.105454545454545,52.0
457,Dr,2016,1,2,0.798888888888889,27.0
458,A/Pr,2016,2,2,11.087,67.0
459,A/Pr,2016,2,2,2.12,81.0
460,A/Pr,2016,2,2,1.596363636363636,91.0
461,Dr,2016,1,2,2.884545454545455,116.0
462,Dr,2016,1,2,0.0,1.0
463,Dr,2016,1,2,2.17090909090909,96.0
464,Dr,2016,1,2,1.31,129.0
465,Dr,2016,1,2,1.827272727272727,57.0
466,Dr,2016,1,2,1.647142857142857,27.0
467,A/Pr,2016,2,2,,0.0
468,A/Pr,2016,2,2,1.124545454545455,117.0
469,Dr,2016,1,2,3.922000000000001,86.0
470,Dr,2016,1,2,3.152727272727273,52.0
471,Dr,2016,1,2,2.713333333333333,10.0
472,A/Pr,2016,2,2,2.402727272727273,99.0
473,Dr,2016,1,2,3.138,25.0
474,Dr,2016,1,2,2.022,35.0
475,Dr,2016,1,2,1.46,83.0
476,Dr,2016,1,2,2.160000000000001,47.0
477,Dr,2016,1,2,3.003333333333333,26.0
478,Dr,2016,1,2,2.0575,74.0
479,Dr,2016,1,2,1.982,40.0
480,Dr,2016,1,2,1.58,20.0
481,Dr,2016,1,2,,
482,A/Pr,2016,2,2,1.844,117.0
483,Dr,2016,1,2,1.149,31.0
484,Dr,2016,1,2,13.65272727272727,58.0
485,Dr,2016,1,2,1.475,58.0
486,A/Pr,2016,2,2,2.441818181818182,65.0
487,Dr,2016,1,2,2.671,53.0
488,Dr,2016,1,2,,0.0
489,Dr,2016,1,2,2.022,62.0
490,Dr,2017,1,2,2.028888888888889,37.0
491,Dr,2017,1,2,1.915,22.0
492,A/Pr,2017,2,2,3.482727272727273,100.0
493,Dr,2017,1,2,,
494,Dr,2017,1,2,4.145,29.0
495,Dr,2017,1,2,1.804,68.0
496,A/Pr,2017,2,2,1.636363636363636,111.0
497,A/Pr,2017,2,2,1.73,50.0
498,Dr,2017,1,2,1.729090909090909,68.0
499,Dr,2017,1,2,1.728888888888889,15.0
500,Dr,2017,1,2,2.713,30.0
501,Dr,2017,1,2,2.155,74.0
502,Dr,2017,1,2,2.237142857142857,19.0
503,Dr,2017,1,2,1.842,55.0
504,A/Pr,2017,2,2,1.886363636363636,88.0
505,Dr,2017,1,2,1.215,42.0
506,Dr,2017,1,2,,
507,Dr,2017,1,2,4.03,84.0
508,Dr,2017,1,2,1.622,40.0
509,Dr,2017,1,2,2.798181818181818,28.0
510,Dr,2017,1,2,2.8025,24.0
511,Dr,2017,1,2,0.5825,5.0
512,Dr,2017,1,2,,
513,A/Pr,2017,2,2,1.806363636363636,103.0
514,Dr,2017,1,2,0.9663636363636363,105.0
515,Dr,2017,1,2,,
516,Dr,2017,1,2,4.595714285714286,54.0
517,Dr,2017,1,2,1.59,57.0
518,Dr,2017,1,2,2.097777777777778,23.0
519,A/Pr,2017,2,2,9.642727272727273,50.0
520,Dr,2017,1,2,0.799,52.0
521,Dr,2017,1,2,,
522,Dr,2017,1,2,,
523,Dr,2017,1,2,1.205454545454545,48.0
524,A/Pr,2017,2,2,2.38909090909091,102.0
525,A/Pr,2017,2,2,,0.0
526,Dr,2017,1,2,1.656,75.0
527,Prof,2017,3,2,2.038,64.0
528,A/Pr,2017,2,2,4.097272727272728,117.0
529,Dr,2017,1,2,2.254,27.0
530,A/Pr,2017,2,2,1.94,46.0
531,Dr,2017,1,2,3.431818181818182,37.0
532,A/Pr,2017,2,2,,
533,A/Pr,2017,2,2,,
534,Dr,2017,1,2,2.156363636363636,118.0
535,Dr,2017,1,2,3.16,77.0
536,A/Pr,2017,2,2,2.034545454545455,101.0
537,Dr,2017,1,2,2.077272727272728,63.0
538,A/Pr,2017,2,2,1.973333333333334,58.0
539,A/Pr,2017,2,2,1.202,173.0
540,A/Pr,2017,2,2,1.94,90.0
541,Dr,2017,1,2,0.4,2.0
542,Dr,2017,1,2,,
543,Dr,2017,1,2,2.098333333333333,22.0
544,Dr,2017,1,2,1.9425,72.0
545,A/Pr,2017,2,2,2.384545454545455,95.0
546,Dr,2017,1,2,,
547,Dr,2017,1,2,2.462727272727273,64.0
548,Dr,2017,1,2,1.833333333333333,8.0
549,Dr,2017,1,2,2.153333333333334,73.0
550,Dr,2017,1,2,0.635,59.0
551,Dr,2017,1,1,118.6242857142857,39.0
552,Dr,2017,1,1,,
553,Dr,2017,1,1,,
554,Dr,2017,1,1,0.78375,29.0
555,Ms,2017,0,1,1.293333333333333,16.0
556,Dr,2017,1,1,3.30875,20.0
557,Mr,2017,0,1,1.713333333333334,3.0
558,Dr,2017,1,1,0.915,13.0
559,Dr,2017,1,1,1.034444444444444,17.0
560,Dr,2017,1,1,,
561,Dr,2017,1,1,1.703333333333333,16.0
562,Dr,2017,1,1,2.22,41.0
563,Dr,2017,1,1,4.467777777777777,40.0
564,Dr,2017,1,1,78.79,52.0
565,Dr,2017,1,1,0.99125,23.0
566,Ms,2017,0,1,,
567,Dr,2017,1,1,1.368571428571429,41.0
568,Dr,2017,1,1,1.572727272727273,108.0
569,Dr,2017,1,1,0.7749999999999999,31.0
570,Dr,2017,1,1,1.084444444444444,38.0
571,Dr,2017,1,1,,
572,Dr,2017,1,1,,
573,Dr,2017,1,1,1.865,19.0
574,Dr,2017,1,1,0.905,43.0
575,Mr,2017,0,1,1.6225,9.0
576,Dr,2017,1,1,,
577,Mr,2017,0,1,9.207999999999998,26.0
578,Dr,2017,1,1,1.1175,10.0
579,Dr,2017,1,1,0.96,1.0
580,Dr,2017,1,1,,
581,Dr,2017,1,1,1.53,29.0
582,Dr,2017,1,1,5.344444444444444,27.0
583,Dr,2017,1,1,0.8600000000000001,96.0
584,Dr,2017,1,1,1.071666666666667,53.0
585,Dr,2017,1,1,1.802,25.0
586,Dr,2017,1,1,1.03,21.0
587,Ms,2017,0,1,1.477142857142857,14.0
588,Dr,2017,1,1,1.40625,33.0
589,Dr,2017,1,1,2.28375,26.0
590,Mr,2017,0,1,1.087142857142857,42.0
591,Mr,2017,0,1,0.5911111111111113,79.0
592,Dr,2017,1,1,1.62375,83.0
593,Dr,2017,1,1,1.561666666666667,18.0
594,Dr,2017,1,1,2.044444444444445,45.0
595,Dr,2017,1,1,2.00125,18.0
596,Dr,2017,1,1,1.4475,44.0
597,Dr,2017,1,1,0.9000000000000001,40.0
598,Dr,2017,1,1,0.7875,9.0
599,Ms,2017,0,1,1.225555555555556,19.0
600,Dr,2017,1,1,3.265,8.0
601,Dr,2017,1,1,1.34,10.0
602,Dr,2017,1,1,1.101428571428571,14.0
603,Dr,2017,1,1,,
604,Dr,2017,1,1,,
605,Dr,2017,1,1,1.333333333333333,23.0
606,Dr,2017,1,1,2.36,24.0
607,Dr,2017,1,1,0.6514285714285715,31.0
608,Dr,2017,1,1,0.39,6.0
609,Dr,2017,1,1,1.921428571428571,19.0
610,Dr,2017,1,1,1.593333333333333,24.0
611,Dr,2017,1,1,1.62625,28.0
612,Dr,2017,1,1,,
613,Dr,2017,1,1,,
614,Dr,2017,1,1,1.3725,8.0
615,Dr,2017,1,1,6.949999999999999,14.0
616,Dr,2017,1,1,,
617,Dr,2017,1,1,,
618,Dr,2017,1,1,1.563333333333333,31.0
619,Dr,2017,1,1,1.66,18.0
